ANYO_PROCESO;CODIGO_CARRERA;NOMBRE_CARRERA;NOMBRE_UNIVERSIDAD;AREA_CONOCIMIENTO_SIES;VACANTES_REG;NUM_SELEC_REG;COMPLETA_VACANTES_REG;PROM_OBLIGATORIAS_ULTIMO_SELEC;PROM_OBLIGATORIAS_SD;PROM_OBLIGATORIAS_MIN;PROM_OBLIGATORIAS_P10;PROM_OBLIGATORIAS_P25;PROM_OBLIGATORIAS_PROM;PROM_OBLIGATORIAS_MED;PROM_OBLIGATORIAS_P75;PROM_OBLIGATORIAS_P90;PROM_OBLIGATORIAS_MAX
2025;11001;ARQUITECTURA;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;205;235;1;733;48.48;685;742.5;771.75;806.5;808.5;839.25;868.5;928.5
2025;11003;ACTUACIÓN TEATRAL;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;23;23;1;681.5;93.04;549;600.6;633.25;703.61;692;761.5;834.7;920
2025;11004;DISEÑO TEATRAL;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;25;25;1;688.5;84.18;536;623.1;682.5;724.44;712.5;784;814.7;911.5
2025;11005;DISEÑO;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;115;135;1;727.5;69.47;599;650.7;681.5;733.97;724;778.5;829.6;968
2025;11011;ARTES VISUALES, LIC. EN ARTES CON MENCIÓN EN;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;90;97;1;641;68.65;570.5;622.8;649.5;700.16;695;742.5;790.2;920
2025;11016;TEORÍA E HISTORIA DEL ARTE, LIC. EN ARTES CON MENCIÓN EN;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;40;40;1;539.5;74.5;512;560.65;600.12;648.81;648.25;692.12;745;809
2025;11017;TEORÍA DE LA MÚSICA;UNIVERSIDAD DE CHILE;ARTE Y ARQUITECTURA;20;23;1;698.5;61.75;650;677.8;700;747.78;734;795.75;830.9;850.5
2025;11020;INGENIERÍA AGRONÓMICA;UNIVERSIDAD DE CHILE;AGROPECUARIA;130;190;1;776;89.28;440.5;552.9;592.75;661.69;658.5;720.38;787.65;893.5
2025;11021;INGENIERÍA FORESTAL;UNIVERSIDAD DE CHILE;AGROPECUARIA;80;117;1;540;97.9;456;532;569.5;644.91;642.5;694.5;768.6;898
2025;11022;MEDICINA VETERINARIA;UNIVERSIDAD DE CHILE;AGROPECUARIA;180;210;1;699;51.83;685.5;750.2;770.38;810.22;804.5;846.62;878.05;952
2025;11024;INGENIERÍA EN RECURSOS NATURALES RENOVABLES;UNIVERSIDAD DE CHILE;TECNOLOGÍA;70;100;1;507.5;99.48;456.5;541.5;599;667.25;659.5;727.88;801.4;895.5
2025;11026;CONTADOR AUDITOR;UNIVERSIDAD DE CHILE;ADMINISTRACIÓN Y COMERCIO;72;99;1;839.5;47.07;707.5;745.4;776.25;812.79;825.5;844.5;869.7;928.5
2025;11027;INGENIERÍA EN INFORMACIÓN Y CONTROL DE GESTIÓN;UNIVERSIDAD DE CHILE;ADMINISTRACIÓN Y COMERCIO;143;206;1;769;40.13;731.5;774.5;801;829.22;828.25;853.25;882.75;929
2025;11028;PEDAGOGÍA EN EDUCACIÓN MEDIA EN MATEMÁTICA Y FÍSICA;UNIVERSIDAD DE CHILE;EDUCACIÓN;45;55;1;760;70.87;641.5;692;727.5;781.92;777.5;838;866.7;929
2025;11029;BIOLOGÍA CON MENCIÓN EN MEDIO AMBIENTE;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;35;40;1;839;65.15;665.5;698.35;738.62;791.82;797;840.25;862.25;916
2025;11030;BIOQUÍMICA;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;39;49;1;788;43.35;780.5;793;823.5;854.87;858.5;883.5;908.6;951.5
2025;11031;INGENIERÍA EN ALIMENTOS;UNIVERSIDAD DE CHILE;TECNOLOGÍA;39;49;1;668.5;67.79;586.5;646.5;681;724.86;723;770.5;804.9;923
2025;11032;LIC. EN CIENCIAS CON MENCIÓN EN BIOLOGÍA;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;25;30;1;734;66.82;673.5;711.85;732.5;781.33;759.5;823.88;886.95;911.5
2025;11033;LIC. EN CIENCIAS CON MENCIÓN EN FÍSICA;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;25;30;1;868.5;39.38;763;791.55;817.5;845.6;854;868.5;891.15;920
2025;11034;LIC. EN CIENCIAS CON MENCIÓN EN MATEMÁTICAS;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;25;30;1;795;63.29;699;740.55;774.62;825.65;830.25;862.25;906.1;965.5
2025;11035;QUÍMICA;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;39;49;1;762.5;48.38;660.5;761;773.5;810.94;809;839.5;874.8;908.5
2025;11036;LIC. EN CIENCIAS CON MENCIÓN EN QUÍMICA;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;20;25;1;738;62.97;580.5;650.4;685;716.22;710.5;758;777.7;864
2025;11037;QUÍMICA Y FARMACIA;UNIVERSIDAD DE CHILE;SALUD;140;153;1;889;39.48;780.5;814.5;843;866.39;863;893.5;920;965.5
2025;11038;QUÍMICA AMBIENTAL;UNIVERSIDAD DE CHILE;CIENCIAS BÁSICAS;20;25;1;646.5;74.79;592.5;645.3;667;731.18;741;775;819.6;886
2025;11039;INGENIERÍA EN BIOTECNOLOGÍA MOLECULAR;UNIVERSIDAD DE CHILE;TECNOLOGÍA;35;40;1;765.5;42.28;765.5;839.15;862;887;891;915.62;929.4;961.5
2025;11040;ADMINISTRACIÓN PÚBLICA;UNIVERSIDAD DE CHILE;CIENCIAS SOCIALES;130;149;1;682.5;59.15;618;670;703;743.39;735.5;775.5;816.8;924.5
2025;11042;INGENIERÍA COMERCIAL;UNIVERSIDAD DE CHILE;ADMINISTRACIÓN Y COMERCIO;400;500;1;795;36.3;753.5;829;849.5;875.48;876.5;900;924.05;973.5
2025;11045;INGENIERÍA Y CIENCIAS - PLAN COMÚN;UNIVERSIDAD DE CHILE;TECNOLOGÍA;710;782;1;855;33.7;773.5;847.5;873;893.82;893.5;916;938;989
2025;11055;DERECHO;UNIVERSIDAD DE CHILE;DERECHO;400;425;1;840.5;54.46;674.5;760.2;795;832.74;834;869;902.5;989
2025;11060;ANTROPOLOGÍA - ARQUEOLOGÍA;UNIVERSIDAD DE CHILE;CIENCIAS SOCIALES;100;105;1;620.5;66.22;620.5;689.2;721;767.22;761.5;807.5;856.2;939
2025;11061;FILOSOFÍA, LICENCIATURA EN;UNIVERSIDAD DE CHILE;HUMANIDADES;80;87;1;504.5;90.24;470.5;515.4;573;636.06;644;698;738;889
2025;11062;GEOGRAFÍA;UNIVERSIDAD DE CHILE;CIENCIAS SOCIALES;40;48;1;579.5;72.71;550.5;611.95;649.12;696.61;702.25;744.75;780.75;878.5
